"Country","Forexreswithgold","Date1","Change1","Forexreswithoutgold","Date2","Change2"
"Country(as recognized by the U.N.)","Continent",NA,"U.S.$millions","Lastreporteddate","Change","U.S.millions"
"China","Asia",NA,"3,571,803","31 Oct 2024","21,957","3,380,334"
"Japan","Asia",NA,"1,238,950","1 Nov 2024","15,948","1,164,583"
"Switzerland","Europe",NA,"952,687","30 Sep 2024","1,127","864,519"
"India","Asia",NA,"656,580","22 Nov 2024","1,310","588,981"
"Russia","Europe",NA,"620,800","8 Nov 2024","11,900","428,534"
"Taiwan","Asia",NA,"576,846","7 Nov 2024","1,083","544,300"
"Saudi Arabia","Asia",NA,"434,547","7 Nov 2024","21,728","434,116"
"Hong Kong","Asia",NA,"421,400","8 Nov 2024","5,126","416,216"
"South Korea","Asia",NA,"415,700","5 Nov 2024","4,300","410,900"
"Brazil","Americas",NA,"388,571","1 Oct 2024","7,465","344,173"
"Singapore","Asia",NA,"383,721","7 Nov 2024","5,907","374,809"
"Germany","Europe",NA,"345,338","1 Oct 2024","9,863","91,071"
"Italy","Europe",NA,"279,631","1 Nov 2024","14,225","79,064"
"France","Europe",NA,"272,693","1 Nov 2024","1,132","66,641"
"United States","Americas",NA,"243,610","1 Nov 2024","1,406","232,569"
"Thailand","Asia",NA,"237,866","8 Nov 2024","598","217,231"
"Mexico","Americas",NA,"230,328","1 Nov 2024","726","216,974"
"Israel","Asia",NA,"216,074","1 Nov 2024","4,303","—"
"Poland","Europe",NA,"215,300","7 Nov 2024","1,524","188,140"
"United Arab Emirates","Asia",NA,"210,000","1 Nov 2024","5,340","199,400"
"United Kingdom","Europe",NA,"189,228","1 Nov 2024","4,870","161,908"
"Indonesia","Asia",NA,"159,246","1 Nov 2024","3,382","—"
"Turkey","Asia",NA,"152,067","1 Oct 2024","1,691","89,760"
"Czech Republic","Europe",NA,"149,416","1 Nov 2024","507","145,012"
"Netherlands","Europe",NA,"125,451","1 Mar 2024","212","—"
"Canada","Americas",NA,"123,084","1 Nov 2024","4,990","—"
"Malaysia","Asia",NA,"119,700","1 Oct 2024","17,459","113,877"
"Philippines","Asia",NA,"112,434","1 Nov 2024","328","101,081"
"Spain","Europe",NA,"100,983","1 Nov 2024","2.380","77,348"
"Iraq","Asia",NA,"100,000","25 Mar 2024","15,000","—"
"Vietnam","Asia",NA,"93,342","1 Mar 2024","1,241","—"
"Denmark","Europe",NA,"93,196","1 Nov 2024","763","88,450"
"Romania","Europe",NA,"82,473","30 Sep 2024","4,005","73,645"
"Belgium","Europe",NA,"82,000","1 Mar 2024","14,200","67,200"
"Norway","Europe",NA,"80,110","1 Oct 2024","1430","—"
"Peru","Americas",NA,"73,483","1 Mar 2024","201","—"
"Libya","Africa",NA,"70,524","1 Mar 2024","238","—"
"Algeria","Africa",NA,"68,028","1 Mar 2024","1,880","—"
"Australia","Oceania",NA,"65,018","7 Nov 2024","119","57,998"
"Qatar","Asia",NA,"64,560","1 Mar 2024","8,931","—"
"Sweden","Europe",NA,"62,438","7 Nov 2024","271","52,395"
"Colombia","Americas",NA,"57,269","8 Mar 2024","124","—"
"Portugal","Europe",NA,"53,710","1 Mar 2024","7,800","—"
"South Africa","Africa",NA,"53,473","7 Mar 2024","504","45,293"
"Kuwait","Asia",NA,"46,420","1 Mar 2024","1,112","—"
"Chile","Americas",NA,"42,527","1 Mar 2024","2,373","—"
"Ukraine","Europe",NA,"40,507","1 Mar 2024","1,212","—"
"Hungary","Europe",NA,"41,344","1 Mar 2024","4,749","—"
"Bulgaria","Europe",NA,"35,395","1 Mar 2024","692","—"
"Egypt","Africa",NA,"35,310","1 Mar 2024","3,161","—"
"Nigeria","Africa",NA,"34,980","1 Mar 2024","465","—"
"Austria","Europe",NA,"34,856","1 Mar 2024","954","34,671"
"Kazakhstan","Asia",NA,"34,500","1 Mar 2024","938","—"
"Uzbekistan","Asia",NA,"32,195","1 Mar 2024","950","—"
"Morocco","Africa",NA,"32,037","1 Mar 2024","213","—"
"New Zealand","Oceania",NA,"31,712","1 Mar 2024","1,916","—"
"Serbia","Europe",NA,"31,119","9 Aug 2024","4.227","—"
"Bangladesh","Asia",NA,"25,500","1 Nov 2024","637","—"
"Iran","Asia",NA,"24,300","1 Mar 2024","1,641","23,600"
"Macau","Asia",NA,"24,283","1 Mar 2024","1,566","—"
"Guatemala","Americas",NA,"21,390","1 Mar 2024","1,300","—"
"Argentina","Americas",NA,"20,846","1 Mar 2024","2,090","—"
"Turkmenistan","Asia",NA,"20,600","1 Mar 2024","45","—"
"Cambodia","Asia",NA,"18,496","1 Mar 2024","67","—"
"Jordan","Asia",NA,"18,765","1 Mar 2024","187","—"
"Nepal","Asia",NA,"18,400","11 Mar 2024","1,857","—"
"Oman","Asia",NA,"16,163","1 Mar 2024","548","—"
"Pakistan","Asia",NA,"15,965","8 Nov 2024","34","—"
"Uruguay","Americas",NA,"15,449","1 Mar 2024","1.176","15,441"
"Lebanon","Asia",NA,"14,738","1 Mar 2024","692","—"
"Dominican Republic","Americas",NA,"14,371","1 Mar 2024","1,145","—"
"Angola","Africa",NA,"14,200","15 Mar 2024","40","—"
"Costa Rica","Americas",NA,"13,200","1 Mar 2024","320","—"
"Ireland","Europe",NA,"12,599","1 Mar 2024","130","11,874"
"Azerbaijan","Asia",NA,"11,650","1 Mar 2024","142","—"
"Ivory Coast","Africa",NA,"9,800","1 Mar 2024","18","—"
"Paraguay","Americas",NA,"9,707","1 Mar 2024","805","9,168"
"Bosnia and Herzegovina","Europe",NA,"8,711","1 Mar 2024","391","—"
"Tunisia","Africa",NA,"8,623","21 Mar 2024","539","—"
"North Korea","Asia",NA,"9,109","1 Mar 2024","73","—"
"Finland","Europe",NA,"7,995","1 Mar 2024","22","—"
"Slovakia","Europe",NA,"7,650","1 Mar 2024","441","—"
"Honduras","Americas",NA,"7,390","21 Mar 2024","580","—"
"Tanzania","Africa",NA,"7,022","22 Mar 2024","600","—"
"Iceland","Europe",NA,"6,847","15 Mar 2024","24","6,668"
"Myanmar","Asia",NA,"6,700","1 Mar 2024","800","—"
"Sri Lanka","Asia",NA,"6,467","31 Oct 2024","475","6,425"
"Panama","Americas",NA,"6,143","1 Mar 2024","200","—"
"Venezuela","Americas",NA,"5,908","1 Mar 2024","776","—"
"Trinidad and Tobago","Americas",NA,"5,800","18 Mar 2024","44","—"
"Moldova","Europe",NA,"5,600","30 Aug 2024","600","—"
"Mauritius","Africa",NA,"5,591","1 Mar 2024","196","5,497"
"Bahrain","Asia",NA,"5,500","25 Mar 2024","128","—"
"Albania","Europe",NA,"5,290","31 Apr 2024","200","5,290"
"Georgia","Europe",NA,"5,224","25 Mar 2024","25.58","—"
"Mongolia","Asia",NA,"5,120","20 Mar 2024","500","—"
"Botswana","Africa",NA,"5,080","1 Mar 2024","267","—"
"Jamaica","Americas",NA,"4,921","5 Mar 2024","300","—"
"Lithuania","Europe",NA,"4,900","1 Mar 2024","440","—"
"Vatican City","Europe",NA,"4,339","1 Mar 2024","950","—"
"Armenia","Asia",NA,"4,298","25 Mar 2024","600","—"
"Nicaragua","Americas",NA,"3,980","1 Mar 2024","1,100","—"
"Greece","Europe",NA,"3,926","1 Mar 2024","107","3,869"
"Latvia","Europe",NA,"3,913","1 Mar 2024","13","—"
"Uganda","Africa",NA,"3,700","1 Mar 2024","259","—"
"Andorra","Europe",NA,"3,689","20 Mar 2024","11","—"
"Brunei","Asia",NA,"3,664","1 Mar 2024","107","—"
"Cameroon","Africa",NA,"3,459","1 Mar 2024","180","—"
"Ethiopia","Africa",NA,"3,430","1 Mar 2024","170","—"
"Ghana","Africa",NA,"3,368","1 Mar 2024","452","—"
"Ecuador","Americas",NA,"3,305","1 Mar 2024","747","—"
"Belarus","Europe",NA,"8,697","31 Aug 2024","165","4,333"
"Kyrgyzstan","Asia",NA,"2,976","1 Mar 2024","193","—"
"Croatia","Europe",NA,"2,935","1 Mar 2024","159","—"
"Slovenia","Europe",NA,"2,519","1 Mar 2024","062","—"
"El Salvador","Americas",NA,"2,510","1 Mar 2024","39","—"
"Cuba","Americas",NA,"2,500","15 Mar 2024","10,391","—"
"Kenya","Africa",NA,"2,490","5 Mar 2024","1,073","—"
"Papua New Guinea","Oceania",NA,"2,339","1 Mar 2024","500","—"
"Haiti","Americas",NA,"2,296","1 Mar 2024","1,256","—"
"Estonia","Europe",NA,"2,065","1 Mar 2024","145","—"
"Namibia","Africa",NA,"2,019","1 Mar 2024","25","—"
"Bahamas","Americas",NA,"1,758","1 Mar 2024","85","—"
"Bolivia","Americas",NA,"1,769","1 Mar 2024","471","—"
"Madagascar","Africa",NA,"1,620","19 Mar 2024","127","—"
"Montenegro","Europe",NA,"1,558","1 Mar 2024","26","—"
"Mauritania","Africa",NA,"1,493","1 Mar 2024","37","—"
"Tajikistan","Asia",NA,"1,482","1 Mar 2024","19","—"
"Rwanda","Africa",NA,"1,458","1 Mar 2024","7","—"
"Zambia","Africa",NA,"1,433","1 Mar 2024","16","—"
"Guinea","Africa",NA,"1,425","15 Mar 2024","33","—"
"Gabon","Africa",NA,"1,377","1 Mar 2024","90","—"
"Cyprus","Asia",NA,"1,271","1 Mar 2024","200","—"
"Luxembourg","Europe",NA,"1,119","5 Mar 2024","34","—"
"Laos","Asia",NA,"1,099","1 Mar 2024","23","—"
"Curaçao","Americas",NA,"1,080","20 Mar 2024","30","—"
"Fiji","Oceania",NA,"1,065","5 Mar 2024","22","—"
"Niger","Africa",NA,"1,053","1 Mar 2024","24","—"
"Aruba","Americas",NA,"1,017","15 Mar 2024","30","—"
"Bhutan","Asia",NA,"972","10 Mar 2024","3","—"
"Kosovo","Europe",NA,"950","1 Mar 2024","15","—"
"Malta","Europe",NA,"937","20 Mar 2024","9","—"
"Lesotho","Africa",NA,"785","1 Mar 2024","11","—"
"Barbados","Americas",NA,"770","1 Mar 2024","2","—"
"Cape Verde","Africa",NA,"712","1 Mar 2024","25","—"
"San Marino","Europe",NA,"716","1 Mar 2024","243","—"
"Gambia","Africa",NA,"698","1 Mar 2024","6","—"
"Palestine","Asia",NA,"671","1 Mar 2024","12","—"
"Timor-Leste","Asia",NA,"654","1 Mar 2024","2","—"
"Suriname","Americas",NA,"647","8 Mar 2024","30","—"
"Sierra Leone","Africa",NA,"624","2 Mar 2024","2","—"
"Mali","Africa",NA,"604","1 Mar 2024","19","—"
"Maldives","Asia",NA,"588","1 Mar 2024","180","—"
"Guyana","Americas",NA,"553","10 Mar 2024","20","—"
"Solomon Islands","Oceania",NA,"551","8 Mar 2024","24","—"
"Seychelles","Africa",NA,"546","1 Mar 2024","19","—"
"Vanuatu","Oceania",NA,"509","1 Mar 2024","2","—"
"Democratic Republic of the Congo","Africa",NA,"505","14 Mar 2024","160","—"
"Djibouti","Africa",NA,"504","1 Mar 2024","3","—"
"Malawi","Africa",NA,"488","1 Mar 2024","17","—"
"Eswatini","Africa",NA,"467","1 Mar 2024","27","—"
"Afghanistan","Asia",NA,"443","1 Oct 2024","32","—"
"Republic of the Congo","Africa",NA,"443","1 Mar 2024","20","—"
"Syria","Asia",NA,"401","1 Mar 2024","16","—"
"Federated States of Micronesia","Oceania",NA,"395","1 Mar 2024","2","—"
"Central African Republic","Africa",NA,"375","1 Mar 2024","14","—"
"Saint Kitts and Nevis","Americas",NA,"365","1 Mar 2024","14","—"
"Liberia","Africa",NA,"342","1 Mar 2024","7","—"
"Guinea-Bissau","Africa",NA,"329","1 Mar 2024","3","—"
"Antigua and Barbuda","Americas",NA,"285","1 Mar 2024","6","—"
"Belize","Americas",NA,"281","1 Mar 2024","4","—"
"Saint Lucia","Americas",NA,"258","1 Mar 2024","2","—"
"Yemen","Asia",NA,"250","1 Mar 2024","5","—"
"Grenada","Americas",NA,"247","1 Mar 2024","11","—"
"Tonga","Oceania",NA,"226","1 Mar 2024","3","—"
"Togo","Africa",NA,"208","1 Mar 2024","7","—"
"Comoros","Africa",NA,"197","1 Mar 2024","5","—"
"Saint Vincent and the Grenadines","Americas",NA,"192","1 Mar 2024","1","—"
"Eritrea","Africa",NA,"189","1 Mar 2024","2","—"
"Samoa","Oceania",NA,"188","1 Mar 2024","3","—"
"São Tomé and Príncipe","Africa",NA,"186","1 Mar 2024","2","—"
"Sudan","Africa",NA,"172","1 Mar 2024","5","—"
"Dominica","Americas",NA,"168","1 Mar 2024","6","—"
"Senegal","Africa",NA,"164","1 Mar 2024","12","—"
"Zimbabwe","Africa",NA,"159","1 Mar 2024","8","—"
"Chad","Africa",NA,"143","1 Mar 2024","4","—"
"Burundi","Africa",NA,"105","1 Mar 2024","6","—"
"South Sudan","Africa",NA,"80","2 Mar 2024","7","—"
"Benin","Africa",NA,"69","1 Mar 2024","9","—"
"Montserrat","Americas",NA,"54","1 Mar 2024","5","—"
"Equatorial Guinea","Africa",NA,"46","1 Mar 2024","2","—"
"Burkina Faso","Africa",NA,"42","1 Mar 2024","3","—"
"Somalia","Africa",NA,"37","1 Mar 2024","5","—"
"Kiribati","Oceania",NA,"8","1 Mar 2024","2","—"
